Question_Bengali,Answer_Bengali
গর্ভাবস্থায় কোন খাবারগুলি এড়ানো উচিত?,"কাঁচা সামুদ্রিক খাবার, অপরিষ্কার দুধ বা চিজ, ডেলি মিট, কাঁচা ডিম এবং উচ্চ পারদযুক্ত মাছ যেমন শার্ক বা সোর্ডফিশ এড়ান। তাজা, ভালোভাবে রান্না করা এবং পরিষ্কার খাবার খান।"
তৃতীয় ত্রৈমাসিকে ব্যায়াম করা নিরাপদ?,"হ্যাঁ, আপনার ডাক্তারের পরামর্শ অনুযায়ী। হালকা হাঁটা, সাঁতার বা গর্ভকালীন যোগ ব্যায়াম ভালো। ভারী জিনিস তোলা বা ঝুঁকিপূর্ণ কাজ এড়ান।"
গর্ভাবস্থায় কতটা ওজন বৃদ্ধি হওয়া উচিত?,আপনার গর্ভাবস্থার আগে BMI-এর উপর নির্ভর করে। গড়ে ১১–১৬ কেজি ওজন বৃদ্ধি হওয়া স্বাভাবিক। আপনার ডাক্তারকে জিজ্ঞাসা করুন।
প্রসবের প্রথম লক্ষণ কী কী?,"নিয়মিত সংকোচন, পিঠে ব্যথা, রক্তের দাগ, পানি ভাঙ্গা এবং তলপেটের চাপ—এগুলো সাধারণ লক্ষণ। সংকোচন নিয়মিত ও তীব্র হলে ডাক্তারের সাথে যোগাযোগ করুন।"
দ্বিতীয় ত্রৈমাসিকে ভ্রমণ করা কি নিরাপদ?,"হ্যাঁ, এটি সবচেয়ে নিরাপদ সময়। ডাক্তারের পরামর্শ নিন এবং মেডিকেল রিপোর্ট সঙ্গে রাখুন। জল পান করুন এবং দীর্ঘ ভ্রমণে মাঝে মাঝে হাঁটুন।"
আমি সারাদিন বমি বমি ভাব অনুভব করছি—কী করবো?,"ছোট ছোট খাবার খান, গন্ধ এড়ান, বেশি পানি পান করুন। আদার চা বা বিস্কুট সাহায্য করতে পারে। যদি সমস্যা বেশি হয়, ডাক্তারের পরামর্শ নিন।"
গর্ভাবস্থায় কী কী স্বাস্থ্যকর স্ন্যাকস খাওয়া যায়?,"দই ও ফল, সেদ্ধ ডিম, হোল গ্রেইন টোস্ট, বাদাম, বা সবজির স্টিকস ও হুমাস খেতে পারেন।"
গর্ভাবস্থায় প্যারাসিটামল খাওয়া নিরাপদ?,"হ্যাঁ, নির্ধারিত মাত্রায় প্যারাসিটামল সাধারণত নিরাপদ। তবে ডাক্তারের পরামর্শ নিন।"
গর্ভাবস্থায় ঘুম ভালোভাবে কিভাবে হবে?,"বাম পাশে ঘুমান, গর্ভকালীন বালিশ ব্যবহার করুন, এবং রাত্রে ক্যাফেইন এড়ান। হালকা ব্যায়াম ও রিল্যাক্সেশন সাহায্য করতে পারে।"
আমার পা ফুলে গেছে—চিন্তার কিছু আছে?,"হালকা ফোলা স্বাভাবিক, বিশেষ করে শেষ দিকে। পা উঁচু করে রাখুন, আরামদায়ক জুতো পরুন, এবং জল পান করুন। হঠাৎ ফোলা হলে ডাক্তারের সঙ্গে কথা বলুন।"
গর্ভাবস্থায় কোন প্রেনেটাল ভিটামিন নেওয়া উচিত?,"ফলিক অ্যাসিড, আয়রন, ক্যালসিয়াম এবং ভিটামিন ডি। অনেক ডাক্তার প্রতিদিনের প্রেনেটাল মাল্টিভিটামিন দেন।"
গর্ভাবস্থায় কতবার ডাক্তার দেখানো উচিত?,"সাধারণত ২৮ সপ্তাহ পর্যন্ত প্রতি মাসে, তারপর প্রতি ২ সপ্তাহে, এবং ৩৬ সপ্তাহের পর প্রতি সপ্তাহে। আপনার প্রয়োজন অনুযায়ী ডাক্তার পরিবর্তন করতে পারেন।"
গর্ভাবস্থায় যৌন সম্পর্ক করা নিরাপদ?,"হ্যাঁ, যদি ডাক্তার না নিষেধ করেন। বিশেষ অবস্থায় সমস্যা হতে পারে যেমন প্লাসেন্টা প্রিভিয়া বা রক্তপাত।"
আমি খুব আবেগপ্রবণ—এটা কি স্বাভাবিক?,"হ্যাঁ, হরমোন, দুশ্চিন্তা ও শারীরিক পরিবর্তনের কারণে এটি স্বাভাবিক। প্রয়োজনে কাউন্সেলরের সাহায্য নিন।"
গর্ভাবস্থায় চা বা কফি খাওয়া কি নিরাপদ?,"হ্যাঁ, তবে দিনে ২০০ মি.গ্রা. (১ কাপ কফি) সীমিত রাখুন। আদা বা পুদিনা চা খেতে পারেন।"
গর্ভাবস্থায় পিঠের ব্যথা কমাতে কোন ব্যায়াম ভালো?,"পেলভিক টিল্ট, গর্ভকালীন যোগ এবং হালকা স্ট্রেচিং সহায়ক। সাঁতারও উপকারী।"
